REF_DATE,GEO,male population(1000),female population(1000),male labour force(1000),female labour force(1000),male fulltime employments(1000),female fulltime employments(1000),male unemployed(1000),female unemployed(1000),male unemployment rate(%),female unemployment rate(%),male participation rate(%),female participation rate(%),male employment rate(%),female employment rate(%)
2022-11,Ontario,6183.7,6401.4,4315.1,3903.6,3611.4,2816.9,240.1,228.1,5.6,5.8,69.8,61.0,5.6,5.8
2022-11,Prince Edward Island,69.4,71.4,46.1,43.3,38.7,32.0,3.2,3.4,6.9,7.9,66.4,60.6,6.9,7.9
2022-11,Quebec,3584.4,3603.1,2446.7,2191.6,2028.5,1614.1,104.5,74.4,4.3,3.4,68.3,60.8,4.3,3.4
2022-11,Saskatchewan,456.8,451.3,324.7,286.2,270.4,204.0,17.0,10.2,5.2,3.6,71.1,63.4,5.2,3.6
2022-12,Alberta,1831.3,1835.0,1353.4,1198.9,1154.3,816.2,73.3,70.0,5.4,5.8,73.9,65.3,5.4,5.8
2022-12,British Columbia,2180.3,2267.8,1493.6,1388.2,1228.9,965.1,68.7,50.0,4.6,3.6,68.5,61.2,4.6,3.6
2022-12,Canada,15814.3,16193.0,10978.2,9947.6,9116.4,7199.5,567.7,475.7,5.2,4.8,69.4,61.4,5.2,4.8
2022-12,Manitoba,531.5,540.1,377.5,335.8,318.7,241.5,16.9,14.0,4.5,4.2,71.0,62.2,4.5,4.2
2022-12,New Brunswick,330.4,342.1,212.8,198.4,172.4,148.3,20.3,11.8,9.5,5.9,64.4,58.0,9.5,5.9
2022-12,Newfoundland and Labrador,221.1,229.7,135.3,128.0,108.1,92.5,15.2,11.3,11.2,8.8,61.2,55.7,11.2,8.8
2022-12,Nova Scotia,411.2,438.9,263.7,260.9,214.6,194.8,18.2,14.2,6.9,5.4,64.1,59.4,6.9,5.4
2022-12,Ontario,6192.6,6409.1,4315.2,3910.2,3582.6,2867.2,231.7,206.9,5.4,5.3,69.7,61.0,5.4,5.3
2022-12,Prince Edward Island,69.6,71.5,46.6,42.8,38.9,31.7,3.2,1.9,6.9,4.4,67.0,59.9,6.9,4.4
2022-12,Quebec,3588.5,3606.7,2455.3,2197.6,2028.9,1637.4,105.0,83.6,4.3,3.8,68.4,60.9,4.3,3.8
2022-12,Saskatchewan,457.9,452.2,324.7,286.7,269.1,204.8,15.1,11.8,4.7,4.1,70.9,63.4,4.7,4.1
2023-01,Alberta,1837.3,1841.2,1371.9,1213.8,1147.6,829.8,84.0,71.9,6.1,5.9,74.7,65.9,6.1,5.9
2023-01,British Columbia,2183.7,2271.5,1499.6,1397.5,1243.1,972.9,69.9,56.5,4.7,4.0,68.7,61.5,4.7,4.0
2023-01,Canada,15847.2,16223.1,11052.1,10026.3,9165.7,7271.3,568.7,477.3,5.1,4.8,69.7,61.8,5.1,4.8
2023-01,Manitoba,532.4,540.8,378.1,334.6,316.1,243.2,16.5,13.1,4.4,3.9,71.0,61.9,4.4,3.9
2023-01,New Brunswick,331.4,342.9,211.5,197.9,172.3,148.7,19.7,11.1,9.3,5.6,63.8,57.7,9.3,5.6
2023-01,Newfoundland and Labrador,221.4,229.9,137.2,128.6,106.6,92.2,19.2,12.2,14.0,9.5,62.0,55.9,14.0,9.5
2023-01,Nova Scotia,412.1,439.7,266.2,261.8,219.0,194.8,13.8,12.7,5.2,4.9,64.6,59.5,5.2,4.9
2023-01,Ontario,6206.8,6421.4,4331.9,3944.4,3605.2,2902.0,218.6,208.0,5.0,5.3,69.8,61.4,5.0,5.3
2023-01,Prince Edward Island,69.8,71.7,47.4,43.5,38.7,31.3,4.0,3.0,8.4,6.9,67.9,60.7,8.4,6.9
2023-01,Quebec,3593.5,3611.0,2481.4,2215.5,2044.7,1649.6,107.5,77.7,4.3,3.5,69.1,61.4,4.3,3.5
2023-01,Saskatchewan,458.9,453.1,326.9,288.6,272.4,206.5,15.5,11.0,4.7,3.8,71.2,63.7,4.7,3.8
2023-02,Alberta,1842.6,1846.6,1368.5,1213.6,1153.1,835.2,79.5,71.3,5.8,5.9,74.3,65.7,5.8,5.9
2023-02,British Columbia,2187.7,2275.7,1500.4,1425.3,1233.1,987.3,78.4,69.9,5.2,4.9,68.6,62.6,5.2,4.9
2023-02,Canada,15878.2,16252.3,11046.3,10074.1,9160.8,7307.4,569.9,496.5,5.2,4.9,69.6,62.0,5.2,4.9
2023-02,Manitoba,533.5,541.9,382.6,339.1,323.9,247.5,15.8,17.9,4.1,5.3,71.7,62.6,4.1,5.3
2023-02,New Brunswick,332.2,343.5,210.3,199.3,169.8,150.6,17.1,8.9,8.1,4.5,63.3,58.0,8.1,4.5
2023-02,Newfoundland and Labrador,221.8,230.3,136.5,128.1,108.4,94.5,16.5,9.8,12.1,7.7,61.5,55.6,12.1,7.7
2023-02,Nova Scotia,413.0,440.5,266.9,260.1,217.3,192.8,17.8,12.4,6.7,4.8,64.6,59.0,6.7,4.8
2023-02,Ontario,6220.2,6433.7,4338.5,3950.4,3609.8,2926.3,215.1,208.5,5.0,5.3,69.7,61.4,5.0,5.3
2023-02,Prince Edward Island,70.1,72.0,48.5,43.8,39.7,32.8,4.1,2.7,8.5,6.2,69.2,60.8,8.5,6.2
2023-02,Quebec,3597.4,3614.3,2465.6,2224.8,2030.5,1633.4,110.2,84.1,4.5,3.8,68.5,61.6,4.5,3.8
2023-02,Saskatchewan,459.7,454.0,328.5,289.5,275.2,207.0,15.5,10.9,4.7,3.8,71.5,63.8,4.7,3.8
2023-03,Alberta,1849.6,1853.5,1371.4,1222.0,1153.0,845.8,85.0,63.4,6.2,5.2,74.1,65.9,6.2,5.2
2023-03,British Columbia,2194.1,2282.2,1497.6,1411.2,1229.8,991.9,70.6,60.9,4.7,4.3,68.3,61.8,4.7,4.3
2023-03,Canada,15920.3,16290.9,11070.8,10070.9,9179.5,7307.4,572.9,480.0,5.2,4.8,69.5,61.8,5.2,4.8
2023-03,Manitoba,535.4,543.6,384.7,340.7,323.9,246.0,17.4,16.7,4.5,4.9,71.9,62.7,4.5,4.9
2023-03,New Brunswick,332.9,344.2,210.5,198.7,174.5,152.0,14.6,9.0,6.9,4.5,63.2,57.7,6.9,4.5
2023-03,Newfoundland and Labrador,222.3,230.7,135.5,129.4,106.7,95.5,16.3,10.9,12.0,8.4,61.0,56.1,12.0,8.4
2023-03,Nova Scotia,414.1,441.4,264.2,261.7,212.1,192.1,18.1,11.7,6.9,4.5,63.8,59.3,6.9,4.5
2023-03,Ontario,6237.8,6449.3,4370.3,3940.3,3626.2,2897.4,227.7,196.2,5.2,5.0,70.1,61.1,5.2,5.0
2023-03,Prince Edward Island,70.4,72.2,48.7,44.8,39.8,33.9,4.0,2.2,8.2,4.9,69.2,62.0,8.2,4.9
2023-03,Quebec,3602.7,3618.6,2458.1,2235.8,2036.4,1646.7,102.2,97.1,4.2,4.3,68.2,61.8,4.2,4.3
2023-03,Saskatchewan,461.1,455.2,329.8,286.4,277.2,206.2,16.9,12.0,5.1,4.2,71.5,62.9,5.1,4.2
2023-04,Alberta,1856.3,1860.2,1375.4,1220.5,1143.6,859.5,86.2,66.6,6.3,5.5,74.1,65.6,6.3,5.5
2023-04,British Columbia,2200.0,2288.2,1504.4,1420.8,1235.7,978.7,80.8,65.1,5.4,4.6,68.4,62.1,5.4,4.6
2023-04,Canada,15958.1,16325.2,11120.7,10067.7,9191.1,7289.7,584.8,473.3,5.3,4.7,69.7,61.7,5.3,4.7
2023-04,Manitoba,536.9,544.9,383.4,339.0,321.5,242.9,18.2,16.8,4.7,5.0,71.4,62.2,4.7,5.0
2023-04,New Brunswick,333.6,344.8,212.7,196.0,172.1,154.0,17.7,7.4,8.3,3.8,63.8,56.8,8.3,3.8
2023-04,Newfoundland and Labrador,222.6,231.0,136.7,127.8,106.4,93.5,16.4,10.2,12.0,8.0,61.4,55.3,12.0,8.0
2023-04,Nova Scotia,415.0,442.3,266.1,264.7,213.7,195.2,18.8,14.7,7.1,5.6,64.1,59.8,7.1,5.6
2023-04,Ontario,6253.6,6463.1,4398.6,3930.9,3629.5,2889.2,221.7,188.4,5.0,4.8,70.3,60.8,5.0,4.8
2023-04,Prince Edward Island,70.8,72.5,50.4,45.9,41.1,34.2,4.5,2.3,8.9,5.0,71.2,63.3,8.9,5.0
2023-04,Quebec,3607.0,3621.9,2464.1,2233.9,2049.2,1633.9,103.8,89.2,4.2,4.0,68.3,61.7,4.2,4.0
2023-04,Saskatchewan,462.2,456.3,328.9,288.1,278.2,208.6,16.9,12.7,5.1,4.4,71.2,63.1,5.1,4.4
2023-05,Alberta,1864.5,1868.2,1379.2,1214.3,1138.8,865.2,88.8,57.7,6.4,4.8,74.0,65.0,6.4,4.8
